2026-07-20 06:17:54 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'TLMUSDT', 'level': 0.002198, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.83}
2026-07-20 06:17:54 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'TLMUSDT', 'level': 0.002198, 'strength': 5}
2026-07-20 06:17:54 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:17:54 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7}
2026-07-20 06:17:55 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'TLMUSDT', 'level': 0.002198, 'distance_pct': 1.7434063477872137}
2026-07-20 06:17:55 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'HOMEUSDT', 'level': 0.00744256, 'event': 'bounce', 'fill_depth': 0.0}
2026-07-20 06:17:55 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:18:00 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.14'}
2026-07-20 06:18:11 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:18:16 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.19'}
2026-07-20 06:18:26 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:18:31 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.20'}
2026-07-20 06:18:41 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:18:46 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.20'}
2026-07-20 06:18:56 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:18:58 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 4, 'new': 0}
2026-07-20 06:19:01 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.19'}
2026-07-20 06:19:11 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:19:16 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.18'}
2026-07-20 06:19:27 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:19:32 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.18'}
2026-07-20 06:19:42 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:19:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.17'}
2026-07-20 06:19:57 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:20:02 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'BUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.48,dir_eff=0.19'}
2026-07-20 06:20:12 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:20:17 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:20:27 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.002198, 'approach_count': 7, 'block_threshold': 4}
2026-07-20 06:20:32 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:20:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:20:48 | INFO | trading.live_price_tracker:_save_post_exit_range:226 | live_post_exit_tracker saved | {'trade_id': 'd90a31e4-eca7-4d41-a74d-5bad0136f2b1', 'high': 0.011626, 'low': 0.010709}
2026-07-20 06:21:03 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:21:18 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:21:33 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:21:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:22:04 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:22:19 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:22:34 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:22:49 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:23:04 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:23:20 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:23:35 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:23:50 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:25:37 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'AVAAIUSDT', 'level': 0.010756, 'result': 'пробой', 'outcome': 'breakout', 'duration': 775.0}
2026-07-20 06:25:37 | INFO | __main__:_start_next_level_after_breakout:982 | Next level rebuilt and started | {'symbol': 'AVAAIUSDT', 'level': 0.009129}
