2026-07-24 15:12:13 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.65017179, 'tp1': 49.9105425, 'tp2': 51.11035714, 'rr': 0.76, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7312, 'red_candles_streak': 3, 'phase_streak_checks': 26, 'phase_streak_seconds': 488.3, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.694, 'natr_5m': 1.791, 'natr_15m': 2.538, 'candle_staleness_sec': 13.1, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:13 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:13 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:17 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.07'}
2026-07-24 15:12:17 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7312, 'red_candles_streak': 3, 'phase_streak_checks': 27, 'phase_streak_seconds': 492.5, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.694, 'natr_5m': 1.791, 'natr_15m': 2.538, 'candle_staleness_sec': 17.4, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:18 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:18 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:22 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.07'}
2026-07-24 15:12:22 | INFO | trading.strategy2_signal_filter:check:988 | S2 signal passed all filters | {'symbol': 'SOXSUSDT', 'level': 49.3675, 'level_type': 'body_level', 'strength': 5, 'p_bounce': 0.923, 'sl': 48.66910036, 'tp1': 49.9105425, 'tp2': 50.92107143, 'rr': 0.78, 'phase': 'unknown', 'pos_struct_pct': 71.8, 'pos_local_pct': 41.7, 'struct_range': [43.39, 51.71], 'approach_speed_pct': -0.7312, 'red_candles_streak': 3, 'phase_streak_checks': 28, 'phase_streak_seconds': 497.6, 'bleed_in_last_12': 0, 'seconds_since_bleed': None, 'phase_seq': 'uuuuuuuuuuuu', 'hours_since_pump_peak': 0.5, 'vol_decay': 1.0, 'natr_now_pct': 3.29, 'natr_1m': 0.694, 'natr_5m': 1.791, 'natr_15m': 2.538, 'candle_staleness_sec': 22.5, 'bot_version': '2026-07-18.1'}
2026-07-24 15:12:23 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 1, 'price': 49.56, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=49.56 qty=2.01'}
2026-07-24 15:12:23 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'SOXSUSDT', 'index': 2, 'price': 48.82, 'error': 'place_limit_order failed: retCode=110126 retMsg=You must sign the required agreement before trading this contract. symbol=SOXSUSDT price=48.82 qty=2.04'}
2026-07-24 15:12:27 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'SOXSUSDT', 'phase': 'unknown', 'note': 'unknown:range=8.1%,dir_eff=0.06'}
